métrica,cenário,BERT (proposto),SAITS (DMSA+ORT),SAITS-2P (refinamento),SAITS-FFT (proposto),Δ% SAITS vs BERT,Δ% SAITS-2P vs BERT,Δ% SAITS-FFT vs BERT,melhor modelo
MAE,pontual 10%,0.1315,0.1274,0.1279,0.1324,-3.15,-2.7,0.69,SAITS (DMSA+ORT)
MAE,pontual 25%,0.1373,0.1335,0.133,0.137,-2.74,-3.09,-0.2,SAITS-2P (refinamento)
MAE,pontual 50%,0.1558,0.1522,0.1487,0.1573,-2.31,-4.56,0.96,SAITS-2P (refinamento)
MAE,bloco 10%,0.1727,0.1722,0.1718,0.1749,-0.28,-0.52,1.29,SAITS-2P (refinamento)
MAE,bloco 25%,0.1756,0.1755,0.1737,0.1771,-0.07,-1.08,0.81,SAITS-2P (refinamento)
MAE,bloco 50%,0.1877,0.1873,0.1831,0.1903,-0.2,-2.41,1.4,SAITS-2P (refinamento)
MAE,média pontual,0.1415,0.1377,0.1366,0.1422,-2.71,-3.51,0.5,SAITS-2P (refinamento)
MAE,média bloco,0.1787,0.1783,0.1762,0.1807,-0.18,-1.36,1.17,SAITS-2P (refinamento)
MAE,média geral,0.1601,0.158,0.1564,0.1615,-1.3,-2.31,0.88,SAITS-2P (refinamento)
RMSE,pontual 10%,0.2067,0.2024,0.2058,0.2086,-2.06,-0.39,0.95,SAITS (DMSA+ORT)
RMSE,pontual 25%,0.2114,0.2077,0.2086,0.2125,-1.76,-1.35,0.49,SAITS (DMSA+ORT)
RMSE,pontual 50%,0.2384,0.2363,0.2328,0.2418,-0.89,-2.34,1.43,SAITS-2P (refinamento)
RMSE,bloco 10%,0.2755,0.2763,0.2754,0.2791,0.29,-0.06,1.29,SAITS-2P (refinamento)
RMSE,bloco 25%,0.2739,0.2773,0.2733,0.2779,1.25,-0.22,1.47,SAITS-2P (refinamento)
RMSE,bloco 50%,0.2977,0.3002,0.2932,0.3025,0.81,-1.52,1.6,SAITS-2P (refinamento)
RMSE,média pontual,0.2188,0.2155,0.2157,0.221,-1.54,-1.41,0.98,SAITS (DMSA+ORT)
RMSE,média bloco,0.2824,0.2846,0.2806,0.2865,0.79,-0.63,1.46,SAITS-2P (refinamento)
RMSE,média geral,0.2506,0.25,0.2482,0.2537,-0.23,-0.97,1.25,SAITS-2P (refinamento)
MAE_kW,pontual 10%,14.9422,14.0864,14.1006,14.9058,-5.73,-5.63,-0.24,SAITS (DMSA+ORT)
MAE_kW,pontual 25%,15.3225,14.7446,14.5658,15.1505,-3.77,-4.94,-1.12,SAITS-2P (refinamento)
MAE_kW,pontual 50%,17.1186,16.6743,16.0908,17.2002,-2.6,-6.0,0.48,SAITS-2P (refinamento)
MAE_kW,bloco 10%,18.9179,18.5527,18.4822,18.8773,-1.93,-2.3,-0.21,SAITS-2P (refinamento)
MAE_kW,bloco 25%,19.045,18.8246,18.5647,18.9127,-1.16,-2.52,-0.69,SAITS-2P (refinamento)
MAE_kW,bloco 50%,20.2984,20.0876,19.4938,20.3279,-1.04,-3.96,0.15,SAITS-2P (refinamento)
MAE_kW,média pontual,15.7944,15.1684,14.919,15.7521,-3.96,-5.54,-0.27,SAITS-2P (refinamento)
MAE_kW,média bloco,19.4204,19.1549,18.8469,19.3726,-1.37,-2.95,-0.25,SAITS-2P (refinamento)
MAE_kW,média geral,17.6074,17.1617,16.883,17.5624,-2.53,-4.11,-0.26,SAITS-2P (refinamento)
RMSE_kW,pontual 10%,47.6717,45.6174,47.3318,47.8461,-4.31,-0.71,0.37,SAITS (DMSA+ORT)
RMSE_kW,pontual 25%,47.004,46.1952,46.2811,47.4455,-1.72,-1.54,0.94,SAITS (DMSA+ORT)
RMSE_kW,pontual 50%,53.0242,52.359,51.9747,53.3488,-1.25,-1.98,0.61,SAITS-2P (refinamento)
RMSE_kW,bloco 10%,61.4633,59.3318,59.4649,60.2572,-3.47,-3.25,-1.96,SAITS (DMSA+ORT)
RMSE_kW,bloco 25%,65.0216,63.4728,63.9653,64.5219,-2.38,-1.62,-0.77,SAITS (DMSA+ORT)
RMSE_kW,bloco 50%,62.9408,62.7004,61.6797,63.5569,-0.38,-2.0,0.98,SAITS-2P (refinamento)
RMSE_kW,média pontual,49.2333,48.0572,48.5292,49.5468,-2.39,-1.43,0.64,SAITS (DMSA+ORT)
RMSE_kW,média bloco,63.1419,61.835,61.7033,62.7786,-2.07,-2.28,-0.58,SAITS-2P (refinamento)
RMSE_kW,média geral,56.1876,54.9461,55.1162,56.1627,-2.21,-1.91,-0.04,SAITS (DMSA+ORT)
MRE,pontual 10%,0.0446,0.0421,0.0421,0.0445,-5.73,-5.63,-0.24,SAITS (DMSA+ORT)
MRE,pontual 25%,0.0459,0.0441,0.0436,0.0454,-3.77,-4.94,-1.12,SAITS-2P (refinamento)
MRE,pontual 50%,0.0514,0.0501,0.0483,0.0516,-2.6,-6.0,0.48,SAITS-2P (refinamento)
MRE,bloco 10%,0.0579,0.0567,0.0565,0.0577,-1.93,-2.3,-0.21,SAITS-2P (refinamento)
MRE,bloco 25%,0.0581,0.0574,0.0566,0.0577,-1.16,-2.52,-0.69,SAITS-2P (refinamento)
MRE,bloco 50%,0.0608,0.0602,0.0584,0.0609,-1.04,-3.96,0.15,SAITS-2P (refinamento)
MRE,média pontual,0.0473,0.0454,0.0447,0.0472,-3.96,-5.54,-0.27,SAITS-2P (refinamento)
MRE,média bloco,0.0589,0.0581,0.0572,0.0588,-1.37,-2.95,-0.25,SAITS-2P (refinamento)
MRE,média geral,0.0531,0.0518,0.0509,0.053,-2.52,-4.1,-0.26,SAITS-2P (refinamento)
