dataset,método,MAE,RMSE,MRE
Air-Quality,BERT+FFT segmentada (nosso),0.13592272996902466,0.46101701259613037,0.1921071857213974
Air-Quality,Median (nosso protocolo),0.695071816444397,1.0977063179016113,0.9823838472366333
Air-Quality,Last (nosso protocolo),0.21037282049655914,0.5914686918258667,0.29733166098594666
Air-Quality,Median (artigo),0.763,1.175,1.074
Air-Quality,Last (artigo),0.967,1.408,1.3630000000000002
Air-Quality,BRITS (artigo),0.153,0.525,0.21600000000000003
Air-Quality,Transformer (artigo),0.158,0.521,0.223
Air-Quality,SAITS-base (artigo),0.146,0.521,0.20600000000000002
Air-Quality,SAITS (artigo),0.137,0.518,0.193
ETT,BERT+FFT segmentada (nosso),0.11666261404752731,0.18369653820991516,0.1119621992111206
ETT,Median (nosso protocolo),0.9977378249168396,1.4272013902664185,0.9575383067131042
ETT,Last (nosso protocolo),0.16469144821166992,0.3714112639427185,0.15805591642856598
ETT,Median (artigo),1.145,1.847,1.391
ETT,Last (artigo),1.007,1.365,0.9640000000000001
ETT,BRITS (artigo),0.13,0.259,0.125
ETT,Transformer (artigo),0.114,0.173,0.109
ETT,SAITS-base (artigo),0.121,0.197,0.11599999999999999
ETT,SAITS (artigo),0.092,0.139,0.08800000000000001
PhysioNet-2012,BERT+FFT segmentada (nosso),0.3189525604248047,0.5702602863311768,0.4572010338306427
PhysioNet-2012,Median (nosso protocolo),0.6809662580490112,0.9909096956253052,0.9761278629302979
PhysioNet-2012,Last (nosso protocolo),0.41013628244400024,0.7658270597457886,0.5879079103469849
PhysioNet-2012,Median (artigo),0.726,0.988,1.035
PhysioNet-2012,Last (artigo),0.862,1.207,1.23
PhysioNet-2012,BRITS (artigo),0.256,0.767,0.365
PhysioNet-2012,Transformer (artigo),0.19,0.445,0.26899999999999996
PhysioNet-2012,SAITS-base (artigo),0.192,0.439,0.273
PhysioNet-2012,SAITS (artigo),0.186,0.431,0.266
